date,user_uid,user_name,user_id,department,entry_time,exit_time,duration_hours,is_late,is_early_leave,status,entry_method
2026-01-01,A1B2C3D4,Rahim Ahmed,STU-001,CSE,10:15:14,15:21:47,5.11,1,0,present,RFID
2026-01-01,E5F6A7B8,Fatima Khan,STU-002,CSE,09:13:14,15:17:12,6.07,1,0,present,Fingerprint
2026-01-01,C9D0E1F2,Karim Hossain,STU-003,EEE,08:24:51,16:10:17,7.76,0,0,present,RFID
2026-01-01,1A2B3C4D,Nasrin Akter,STU-004,CSE,08:02:24,14:38:16,6.6,0,1,present,RFID
2026-01-01,5E6F7A8B,Shakib Rahman,STU-005,EEE,09:02:35,17:19:56,8.29,0,0,present,RFID
2026-01-01,9C0D1E2F,Aisha Begum,STU-006,BBA,08:21:14,15:27:14,7.1,0,0,present,RFID
2026-01-01,3A4B5C6D,Imran Hasan,STU-007,CSE,09:05:23,17:08:44,8.06,0,0,present,RFID
2026-01-01,7E8F9A0B,Sumaiya Islam,STU-008,EEE,09:10:29,17:22:35,8.2,1,0,present,RFID
2026-01-01,B1C2D3E4,Tanvir Alam,STU-009,BBA,08:07:52,14:25:17,6.29,0,1,present,RFID
2026-01-01,F5A6B7C8,Maliha Rahman,STU-010,CSE,09:06:41,17:14:09,8.12,0,0,present,RFID
2026-01-01,UNKNOWN01,UNKNOWN,UNAUTHORIZED,UNKNOWN,01:35:00,,0,0,0,unauthorized,RFID
2026-01-04,A1B2C3D4,Rahim Ahmed,STU-001,CSE,09:11:14,15:16:31,6.09,0,0,present,RFID
2026-01-04,E5F6A7B8,Fatima Khan,STU-002,CSE,08:20:10,16:19:04,7.98,0,0,present,Fingerprint
2026-01-04,C9D0E1F2,Karim Hossain,STU-003,EEE,09:17:55,17:23:07,8.09,0,0,present,RFID
2026-01-04,1A2B3C4D,Nasrin Akter,STU-004,CSE,09:13:10,17:28:46,8.26,0,0,present,RFID
2026-01-04,5E6F7A8B,Shakib Rahman,STU-005,EEE,,,0,0,0,absent,
2026-01-04,9C0D1E2F,Aisha Begum,STU-006,BBA,08:27:40,17:16:38,8.82,0,0,present,RFID
2026-01-04,3A4B5C6D,Imran Hasan,STU-007,CSE,08:19:20,15:29:23,7.17,0,0,present,RFID
2026-01-04,7E8F9A0B,Sumaiya Islam,STU-008,EEE,08:02:46,15:24:34,7.36,0,0,present,RFID
2026-01-04,B1C2D3E4,Tanvir Alam,STU-009,BBA,08:08:33,16:30:13,8.36,0,0,present,RFID
2026-01-04,F5A6B7C8,Maliha Rahman,STU-010,CSE,09:14:57,15:07:14,5.87,0,0,present,RFID
2026-01-05,A1B2C3D4,Rahim Ahmed,STU-001,CSE,08:00:04,15:07:04,7.12,0,0,present,RFID
2026-01-05,E5F6A7B8,Fatima Khan,STU-002,CSE,,,0,0,0,absent,
2026-01-05,C9D0E1F2,Karim Hossain,STU-003,EEE,09:06:34,17:18:30,8.2,0,0,present,RFID
2026-01-05,1A2B3C4D,Nasrin Akter,STU-004,CSE,08:03:06,16:13:26,8.17,0,0,present,Fingerprint
2026-01-05,5E6F7A8B,Shakib Rahman,STU-005,EEE,,,0,0,0,absent,
2026-01-05,9C0D1E2F,Aisha Begum,STU-006,BBA,08:01:25,15:07:12,7.1,0,0,present,RFID
2026-01-05,3A4B5C6D,Imran Hasan,STU-007,CSE,09:17:29,15:14:51,5.96,1,0,present,RFID
2026-01-05,7E8F9A0B,Sumaiya Islam,STU-008,EEE,08:02:59,15:05:26,7.04,0,0,present,Fingerprint
2026-01-05,B1C2D3E4,Tanvir Alam,STU-009,BBA,08:05:24,14:16:59,6.19,0,1,present,Fingerprint
2026-01-05,F5A6B7C8,Maliha Rahman,STU-010,CSE,09:04:12,15:18:47,6.24,0,0,present,RFID
2026-01-06,A1B2C3D4,Rahim Ahmed,STU-001,CSE,08:01:32,13:04:38,5.05,0,1,present,RFID
2026-01-06,E5F6A7B8,Fatima Khan,STU-002,CSE,08:30:56,17:19:02,8.8,0,0,present,RFID
2026-01-06,C9D0E1F2,Karim Hossain,STU-003,EEE,09:29:16,17:10:15,7.68,0,0,present,RFID
2026-01-06,1A2B3C4D,Nasrin Akter,STU-004,CSE,09:14:20,15:00:29,5.77,0,0,present,RFID
2026-01-06,5E6F7A8B,Shakib Rahman,STU-005,EEE,09:04:59,15:28:15,6.39,0,0,present,RFID
2026-01-06,9C0D1E2F,Aisha Begum,STU-006,BBA,09:19:51,15:21:52,6.03,0,0,present,RFID
2026-01-06,3A4B5C6D,Imran Hasan,STU-007,CSE,,,0,0,0,absent,
2026-01-06,7E8F9A0B,Sumaiya Islam,STU-008,EEE,09:03:56,17:04:17,8.01,0,0,present,RFID
2026-01-06,B1C2D3E4,Tanvir Alam,STU-009,BBA,08:21:40,17:15:16,8.89,0,0,present,RFID
2026-01-06,F5A6B7C8,Maliha Rahman,STU-010,CSE,09:01:00,15:20:16,6.32,0,0,present,RFID
2026-01-07,A1B2C3D4,Rahim Ahmed,STU-001,CSE,08:03:04,17:28:09,9.42,0,0,present,RFID
2026-01-07,E5F6A7B8,Fatima Khan,STU-002,CSE,08:13:08,14:57:59,6.75,0,1,present,RFID
2026-01-07,C9D0E1F2,Karim Hossain,STU-003,EEE,,,0,0,0,absent,
2026-01-07,1A2B3C4D,Nasrin Akter,STU-004,CSE,08:11:49,16:19:47,8.13,0,0,present,RFID
2026-01-07,5E6F7A8B,Shakib Rahman,STU-005,EEE,,,0,0,0,absent,
2026-01-07,9C0D1E2F,Aisha Begum,STU-006,BBA,09:56:26,14:50:59,4.91,1,1,present,Fingerprint
2026-01-07,3A4B5C6D,Imran Hasan,STU-007,CSE,08:08:10,15:12:55,7.08,0,0,present,RFID
2026-01-07,7E8F9A0B,Sumaiya Islam,STU-008,EEE,,,0,0,0,absent,
2026-01-07,B1C2D3E4,Tanvir Alam,STU-009,BBA,09:11:19,15:07:01,5.93,0,0,present,RFID
2026-01-07,F5A6B7C8,Maliha Rahman,STU-010,CSE,08:30:49,17:16:25,8.76,0,0,present,RFID
2026-01-08,A1B2C3D4,Rahim Ahmed,STU-001,CSE,08:18:16,14:22:46,6.08,0,1,present,RFID
2026-01-08,E5F6A7B8,Fatima Khan,STU-002,CSE,08:12:57,16:01:45,7.81,0,0,present,Fingerprint
2026-01-08,C9D0E1F2,Karim Hossain,STU-003,EEE,08:11:27,14:39:20,6.46,0,1,present,RFID
2026-01-08,1A2B3C4D,Nasrin Akter,STU-004,CSE,09:21:26,17:09:35,7.8,0,0,present,RFID
2026-01-08,5E6F7A8B,Shakib Rahman,STU-005,EEE,09:21:47,17:18:19,7.94,0,0,present,Fingerprint
2026-01-08,9C0D1E2F,Aisha Begum,STU-006,BBA,10:13:27,17:20:20,7.11,1,0,present,Fingerprint
2026-01-08,3A4B5C6D,Imran Hasan,STU-007,CSE,09:25:57,17:05:42,7.66,0,0,present,RFID
2026-01-08,7E8F9A0B,Sumaiya Islam,STU-008,EEE,09:02:52,15:21:19,6.31,0,0,present,RFID
2026-01-08,B1C2D3E4,Tanvir Alam,STU-009,BBA,09:15:30,15:14:26,5.98,1,0,present,RFID
2026-01-08,F5A6B7C8,Maliha Rahman,STU-010,CSE,09:07:09,15:28:48,6.36,0,0,present,RFID
2026-01-11,A1B2C3D4,Rahim Ahmed,STU-001,CSE,09:01:35,15:14:08,6.21,0,0,present,Fingerprint
2026-01-11,E5F6A7B8,Fatima Khan,STU-002,CSE,09:30:48,17:26:46,7.93,0,0,present,Fingerprint
2026-01-11,C9D0E1F2,Karim Hossain,STU-003,EEE,08:23:55,16:24:15,8.01,0,0,present,RFID
2026-01-11,1A2B3C4D,Nasrin Akter,STU-004,CSE,08:08:28,14:15:17,6.11,0,1,present,RFID
2026-01-11,5E6F7A8B,Shakib Rahman,STU-005,EEE,08:04:14,15:22:13,7.3,0,0,present,RFID
2026-01-11,9C0D1E2F,Aisha Begum,STU-006,BBA,09:13:03,16:12:57,7.0,0,0,present,RFID
2026-01-11,3A4B5C6D,Imran Hasan,STU-007,CSE,,,0,0,0,absent,
2026-01-11,7E8F9A0B,Sumaiya Islam,STU-008,EEE,08:30:22,16:27:57,7.96,0,0,present,Fingerprint
2026-01-11,B1C2D3E4,Tanvir Alam,STU-009,BBA,08:15:14,16:00:24,7.75,0,0,present,RFID
2026-01-11,F5A6B7C8,Maliha Rahman,STU-010,CSE,08:26:29,17:17:01,8.84,0,0,present,Fingerprint
2026-01-12,A1B2C3D4,Rahim Ahmed,STU-001,CSE,10:08:55,15:08:24,4.99,1,0,present,RFID
2026-01-12,E5F6A7B8,Fatima Khan,STU-002,CSE,09:08:48,16:08:53,7.0,0,0,present,RFID
2026-01-12,C9D0E1F2,Karim Hossain,STU-003,EEE,08:30:22,15:24:41,6.91,0,0,present,RFID
2026-01-12,1A2B3C4D,Nasrin Akter,STU-004,CSE,08:26:01,15:04:30,6.64,0,0,present,RFID
2026-01-12,5E6F7A8B,Shakib Rahman,STU-005,EEE,09:24:23,17:30:47,8.11,0,0,present,RFID
2026-01-12,9C0D1E2F,Aisha Begum,STU-006,BBA,10:06:37,14:36:43,4.5,1,1,present,Fingerprint
2026-01-12,3A4B5C6D,Imran Hasan,STU-007,CSE,08:18:44,15:03:44,6.75,0,0,present,RFID
2026-01-12,7E8F9A0B,Sumaiya Islam,STU-008,EEE,,,0,0,0,absent,
2026-01-12,B1C2D3E4,Tanvir Alam,STU-009,BBA,09:22:34,16:02:32,6.67,1,0,present,RFID
2026-01-12,F5A6B7C8,Maliha Rahman,STU-010,CSE,09:03:27,17:28:53,8.42,0,0,present,Fingerprint
2026-01-13,A1B2C3D4,Rahim Ahmed,STU-001,CSE,09:19:51,16:14:27,6.91,0,0,present,RFID
2026-01-13,E5F6A7B8,Fatima Khan,STU-002,CSE,08:08:56,16:18:39,8.16,0,0,present,Fingerprint
2026-01-13,C9D0E1F2,Karim Hossain,STU-003,EEE,09:05:31,16:10:17,7.08,0,0,present,RFID
2026-01-13,1A2B3C4D,Nasrin Akter,STU-004,CSE,08:02:15,16:17:48,8.26,0,0,present,RFID
2026-01-13,5E6F7A8B,Shakib Rahman,STU-005,EEE,09:14:50,14:14:25,4.99,0,1,present,RFID
2026-01-13,9C0D1E2F,Aisha Begum,STU-006,BBA,09:17:33,17:17:21,8.0,0,0,present,RFID
2026-01-13,3A4B5C6D,Imran Hasan,STU-007,CSE,09:07:07,16:03:47,6.94,0,0,present,RFID
2026-01-13,7E8F9A0B,Sumaiya Islam,STU-008,EEE,09:23:37,17:19:18,7.93,0,0,present,RFID
2026-01-13,B1C2D3E4,Tanvir Alam,STU-009,BBA,09:05:19,13:17:02,4.2,0,1,present,RFID
2026-01-13,F5A6B7C8,Maliha Rahman,STU-010,CSE,08:20:55,15:27:00,7.1,0,0,present,RFID
